Accelerometer [X]	Accelerometer [Y]	Accelerometer [Z]
0.11	-5.74	7.83
0.11	-5.74	7.83
0.12	-5.74	7.85
0.1	-5.74	7.85
0.1	-5.75	7.87
0.11	-5.74	7.86
0.11	-5.73	7.83
0.11	-5.72	7.84
0.12	-5.74	7.86
0.11	-5.74	7.85
0.1	-5.75	7.86
0.12	-5.73	7.83
0.1	-5.73	7.82
0.12	-5.72	7.84
0.12	-5.74	7.84
0.11	-5.74	7.85
0.1	-5.75	7.82
0.12	-5.73	7.86
0.11	-5.74	7.85
0.11	-5.75	7.85
0.11	-5.75	7.82
0.12	-5.72	7.84
0.1	-5.74	7.84
0.11	-5.72	7.82
0.12	-5.7	7.84
0.11	-5.72	7.83
0.09	-5.74	7.84
0.12	-5.74	7.86
0.09	-5.74	7.83
0.1	-5.74	7.83
0.12	-5.74	7.85
0.12	-5.72	7.84
0.11	-5.74	7.87
0.1	-5.73	7.85
0.1	-5.71	7.84
0.09	-5.72	7.83
0.1	-5.72	7.84
0.09	-5.74	7.85
1.39	0.09	0.91
-4.84	8.39	-10.07
4.22	12.84	11.54
1.32	0.59	0.47
-2.53	1.4	0.2
-2.22	3.58	0.82
-5.65	2.38	0
0.94	6.47	-11.11
-0.71	0.53	10.22
-0.11	1.18	-0.94
-1.72	0.19	1.03
0.74	0.92	4.72
-0.24	11.74	-7.66
6.29	7.52	2.11
2.26	9.98	-11.38
0.59	0.27	0.3
-0.34	0.28	2.86
0.89	0.14	0.07
0.35	0.12	-1.05
0.37	-0.65	2.47
2.97	-1.71	-6.79
1.05	0.21	0.34
-2.91	1.26	0.55
-0.59	0.15	-1.47
0.03	-4.45	-22.84
-6.06	2.26	5.34
-12.57	-1.2	-0.78
-3.12	4.52	-0.44
1.6	-9.85	7.63
-8.07	-1.3	-0.91
-0.08	1.01	-3.2
-15.57	0.25	-6.57
-4.61	9.42	1.07
-0.68	-1.65	2.23
-6.22	-3.01	21.4
-7.26	-2.22	-0.02
-2.34	-2.09	-12.01
-5.08	-0.42	-0.15
-0.29	2.8	-0.23
-16.93	-0.45	-8.16
-1.11	1.72	2.76
0.61	-2.34	0.94
0.5	1.58	-4.88
-16.93	3.06	-10.9
-12.62	-13.24	-21.65
0.43	-0.53	-3.86
0.66	1.38	-3.4
7.61	4.57	-2.74
7.83	-0.83	-6.94
-13.38	-7.49	-0.55
-4.3	-0.92	-1.07
-4.81	2.71	-2.91
-1.75	-0.21	10.89
-0.9	4.65	1.09
1.88	-0.15	-8.96
-2.69	1.74	-4.76
-2.64	-1.35	-9.91
-16.95	-6.76	-11.53
3.89	-0.06	-0.09
1.68	1.94	-1.37
-5.97	-18.54	-10.03
-0.7	-7.55	6.14
2.41	-5.02	6.62
-0.65	-6.83	5.48
0.18	-6.39	6.63
-5.45	0.37	-2.97
9	-4.14	2.43
-9.67	-5.97	4.6
12.26	-3.62	3.45
-1.75	0.98	-4.52
-4.48	-0.56	3.4
1.53	5.99	-5.39
-6.6	9.67	-3.41
3.89	4.42	-1.11
5.15	14.5	5.82
0.13	-8.57	-5.3
0.82	-7.67	-4.09
0.84	-7.68	-3.89
1.19	-8.65	-4.67
1.37	-8.59	-4.47
2.3	-8.12	-5.91
2.44	-8.14	-5.47
1.5	-8.3	-5.6
1.56	-8.34	-5.58
1.56	-8.36	-5.6
2.24	-8.09	-5.51
2.23	-8.13	-5.58
2.21	-8.13	-5.77
2.38	-8	-5.76
2.44	-8.18	-5.54
2.61	-8.11	-5.44
2.63	-8.03	-5.53
2.81	-7.81	-5.39
-12.07	-1.96	5.03
2.92	-1.74	5.89
7.1	12.39	-1.83
0.55	8.49	-1.33
0.65	8.79	-1.66
0.46	8.64	-0.22
1.49	8.89	-1.9
-7.91	1.91	-10.46
-1.95	-4.57	-17.6
-2.89	-6.62	-5.91
1.72	3.64	-7.29
-5.19	5.14	-1.17
16.79	-5.33	-3.77
-12.74	4.7	-9.33
-5.71	-1.82	-1.91
-6.91	-7.29	-2.56
12.57	-38.72	27.32
-0.14	-1.26	-0.28
17.33	7.87	19.18
1.98	-10.14	3.55
2.96	-9.73	3.75
-0.06	-9.67	3.71
-0.05	-9.66	3.72
-0.06	-9.68	3.72
-0.06	-9.67	3.72
-0.08	-9.66	3.73
-0.05	-9.68	3.71
-0.05	-9.66	3.72
-0.06	-9.67	3.74
-0.04	-9.58	3.89
-0.03	-9.57	3.91
-0.47	-9.6	3.91
-0.03	-9.56	3.93
1.05	-9.57	3.92
-0.04	-9.56	3.94
-0.03	-9.54	3.92
-0.03	-9.57	3.93
-0.03	-9.56	3.97
-0.03	-9.56	3.95
-0.04	-9.58	3.94
-0.01	-9.57	3.93
-8.51	-9.95	2.65
-12.98	-4.92	-1.44
-1.72	-5.63	-7.7
-5.16	-7.75	-0.44
-25.73	17	-34.05
-2.14	1.87	2.66
-2.25	-36.77	-23.41
13.72	18.16	-6.75
-0.16	7.27	-21.29
-16.28	-17.82	-10.79
-0.34	-3.03	-2.17
-7.61	3.26	1.85
-24.1	-12.1	14.15
0.93	-0.14	-0.26
4.12	9.14	-23.36
-5.77	-17.17	4.11
2.12	1.44	-6.26
0.32	-0.56	-4.24
-2.27	6.17	-0.27
15.77	-24.28	-18.35
-14.43	1.19	23.48
-3.64	21.88	2.19
-4.31	-9.58	0.75
-3.87	12.49	-7.71
-1.36	-1.51	8.43
-4.47	-1.72	1.12
-1.95	-8.15	1.46
-5.35	-1.44	-0.38
-3.38	-1.64	-1.52
-5.02	0.06	-3.08
-4.2	0.61	1.5
3.53	-8.96	3.58
16.13	-21.27	8.74
-4.38	-7.21	3.43
-9.11	0.12	7.65
-3.39	-0.34	-2.06
-11.5	-8.62	-2.89
1.3	-6.36	4.3
-7.24	-3.29	-2.75
-2.73	-1.58	-3.63
28.88	24.33	-5.02
-3.34	-0.7	1.69
13.99	36.84	28.82
33.51	23.73	13.03
6.38	-12.21	-6.09
2.84	-11.92	3.3
-1.78	-0.21	8.07
-10.21	9.2	-2.73
-1.23	-0.79	-0.49
0.25	-11.18	12.67
-0.62	-1.4	-0.78
5.85	7.35	26.94
0.3	0.89	3.39
-4.13	-0.91	-0.5
-9.92	1.62	-5.61
-1.94	-0.21	-0.82
-19.01	1.41	-11.55
-2.43	-1.23	2.18
-1.19	-4.18	-1.02
2.42	-1.27	-1.3
11.13	-29.73	30.05
-0.2	-0.49	-0.98
3.46	-19.86	-12.68
1.4	-4.08	-5.17
0.16	-10.18	-0.52
0.46	-8.63	4.94
0.44	-9.38	4.05
0.44	-9.36	4.1
0.44	-9.41	4.05
0.46	-9.38	4.06
0.46	-9.38	4.05
0.45	-9.37	4.09
0.44	-9.36	4.08
0.44	-9.39	4.05
0.44	-9.36	4.07
0.47	-9.37	4.1
0.46	-9.38	4.08
-1.47	-2.62	-1.28
-1.4	-1.65	-3.33
0.57	-1.16	-0.53
3.38	-0.92	-1.01
0.54	4.99	6.8
0.54	3.5	8
0.54	3.31	8.1
0.44	3.57	8.63
0.44	3.62	8.6
0.45	3.57	8.62
0.45	3.58	8.6
0.44	3.59	8.59
0.44	3.55	8.62
0.45	3.61	8.61
0.45	3.56	8.64
0.45	3.57	8.61
0.45	3.54	8.63
0.45	3.56	8.64
0.44	3.58	8.62
0.44	3.54	8.63
0.42	3.56	8.64
0.44	3.57	8.66
0.44	3.55	8.63
0.44	3.57	8.64
0.45	3.89	8.43
0.45	3.8	8.56
0.5	5.28	7.53
0.54	5.33	7.47
0.52	5.54	7.27
0.54	5.3	7.49
0.51	5.26	7.55
0.52	5.34	7.49
0.53	5.35	7.49
0.52	5.33	7.43
0.51	5.3	7.49
0.51	5.3	7.51
0.53	5.31	7.5
0.53	5.35	7.46
0.53	5.29	7.49
0.52	5.32	7.51
0.53	5.33	7.46
0.52	5.32	7.48
0.52	5.32	7.49
0.52	5.3	7.49
0.53	5.34	7.43
0.53	5.32	7.5
0.51	5.33	7.46
0.52	5.31	7.49
0.56	5.27	7.51
0.51	5.36	7.46
0.49	4.65	8
0.5	4.96	7.78
0.47	3.85	8.53
0.45	3.8	8.53
0.46	3.79	8.53
0.45	3.79	8.52
0.45	3.79	8.52
0.44	3.8	8.52
0.46	3.77	8.54
0.45	3.81	8.52
0.44	3.78	8.51
0.46	3.78	8.56
0.45	3.78	8.54
0.46	3.77	8.55
0.46	3.75	8.52
0.44	3.77	8.52
0.44	3.84	8.53
0.44	3.74	8.55
0.46	3.78	8.55
0.44	3.8	8.52
0.44	3.75	8.53
0.45	3.75	8.56
0.44	3.8	8.56
0.44	3.75	8.55
0.45	3.79	8.52
0.46	3.78	8.55
0.46	3.8	8.56
0.46	3.77	8.55
0.45	3.77	8.56
0.44	3.77	8.51
0.44	3.77	8.55
0.44	3.76	8.56
0.45	3.77	8.57
0.44	3.79	8.56
0.46	3.81	8.54
0.45	3.83	8.55
0.44	3.79	8.55
0.44	3.78	8.56
0.44	3.77	8.57
0.43	3.8	8.53
0.45	3.8	8.55
0.45	3.8	8.54
0.45	3.79	8.54
0.45	3.78	8.52
0.46	3.77	8.56
0.44	3.74	8.58
0.45	3.76	8.55
0.44	3.78	8.55
0.46	3.79	8.53
0.45	3.78	8.54
0.44	3.74	8.58
0.47	3.79	8.55
0.45	3.77	8.56
0.44	3.76	8.55
0.45	3.78	8.53
0.45	3.75	8.56
0.45	3.79	8.53
0.46	3.78	8.54
0.46	3.78	8.55
0.46	3.77	8.56
0.47	3.79	8.54
0.45	3.77	8.54
0.44	3.78	8.53
0.45	3.79	8.55
0.45	3.77	8.56
0.44	3.81	8.51
0.48	3.79	8.56
0.47	3.79	8.52
0.45	3.8	8.55
0.44	3.74	8.54
0.45	3.77	8.54
0.46	3.79	8.56
0.46	3.79	8.55
0.45	3.82	8.53
0.46	3.78	8.53
0.47	3.8	8.5
0.44	3.82	8.55
0.45	3.84	8.52
0.45	3.79	8.55
0.47	3.84	8.51
0.46	3.82	8.52
0.46	3.79	8.54
0.46	3.84	8.5
0.47	3.85	8.5
0.47	3.84	8.49
0.46	3.85	8.52
0.47	3.85	8.51
0.48	3.85	8.51
0.49	3.86	8.52
0.48	3.83	8.49
0.47	3.87	8.51
0.48	3.86	8.52
0.49	3.85	8.51
0.48	3.86	8.51
0.47	3.85	8.5
0.49	3.87	8.5
0.48	3.86	8.5
0.48	3.85	8.51
0.48	3.85	8.49
0.49	3.85	8.51
0.47	3.85	8.52
0.49	3.85	8.51
0.48	3.84	8.51
0.48	3.85	8.5
0.48	3.85	8.53
0.5	3.84	8.49
0.47	3.82	8.53
0.49	3.84	8.49
0.47	3.87	8.51
0.48	3.86	8.52
0.49	3.81	8.52
0.48	3.83	8.51
0.48	3.81	8.52
0.47	3.85	8.5
0.46	3.87	8.53
0.47	3.82	8.52
0.46	3.84	8.53
0.47	3.84	8.51
0.48	3.82	8.54
0.49	3.86	8.52
0.47	3.86	8.52
0.48	3.85	8.51
0.46	3.85	8.52
0.47	3.85	8.54
0.46	3.84	8.53
0.48	3.84	8.51
0.47	3.84	8.54
0.47	3.84	8.52
0.47	3.84	8.5
0.48	3.83	8.52
0.49	3.85	8.51
0.47	3.85	8.51
0.5	3.86	8.52
0.48	3.82	8.51
0.48	3.87	8.5
0.47	3.84	8.49
0.48	3.85	8.51
0.47	3.9	8.51
0.47	3.85	8.54
0.46	3.85	8.51
0.5	3.83	8.53
0.49	3.81	8.54
0.47	3.82	8.54
0.46	3.84	8.51
0.48	3.83	8.52
0.48	3.84	8.49
0.49	3.84	8.52
0.48	3.84	8.51
0.47	3.82	8.53
0.48	3.85	8.5
0.48	3.84	8.5
0.49	3.87	8.52
0.49	3.82	8.51
0.49	3.85	8.53
0.49	3.86	8.5
0.49	3.84	8.52
0.49	3.86	8.51
0.47	3.85	8.52
0.48	3.84	8.52
0.48	3.84	8.53
0.48	3.85	8.51
0.48	3.87	8.52
0.5	3.84	8.53
0.49	3.83	8.51
0.47	3.84	8.53
0.49	3.87	8.51
0.47	3.87	8.52
0.48	3.87	8.51
0.47	3.8	8.54
0.48	3.86	8.5
0.49	3.85	8.54
0.49	3.85	8.51
0.48	3.87	8.51
0.49	3.86	8.5
0.47	3.88	8.52
0.5	3.85	8.51
0.49	3.87	8.48
0.5	3.85	8.51
0.49	3.86	8.5
0.49	3.84	8.52
0.49	3.84	8.53
0.48	3.84	8.51
0.48	3.84	8.52
0.49	3.85	8.5
0.48	3.85	8.51
0.49	3.84	8.5
0.48	3.84	8.53
0.48	3.84	8.51
0.5	3.85	8.53
0.49	3.83	8.52
0.48	3.86	8.52
0.48	3.85	8.52
0.48	3.84	8.51
0.49	3.84	8.52
0.47	3.83	8.5
0.49	3.85	8.49
0.48	3.84	8.51
0.49	3.84	8.52
0.48	3.87	8.5
0.49	3.81	8.51
0.47	3.85	8.51
0.49	3.84	8.51
0.5	3.84	8.54
0.49	3.84	8.51
0.48	3.83	8.51
0.48	3.87	8.51
0.49	3.84	8.53
0.49	3.86	8.5
0.49	3.84	8.5
0.51	3.83	8.5
0.5	3.86	8.51
0.5	3.83	8.53
0.48	3.83	8.51
0.5	3.83	8.5
0.5	3.85	8.48
0.49	3.85	8.5
0.49	3.82	8.53
0.48	3.86	8.51
0.5	3.84	8.5
0.48	3.85	8.5
0.49	3.82	8.51
0.48	3.86	8.51
0.51	3.85	8.51
0.5	3.84	8.5
0.48	3.85	8.52
0.5	3.85	8.51
0.48	3.83	8.5
0.49	3.84	8.5
0.5	3.84	8.51
0.5	3.85	8.52
0.49	3.84	8.51
0.49	3.82	8.51
0.48	3.86	8.49
0.5	3.85	8.51
0.51	3.85	8.5
0.49	3.86	8.5
0.49	3.85	8.47
0.48	3.83	8.52
0.5	3.83	8.51
0.5	3.84	8.5
0.51	3.86	8.49
0.48	3.84	8.49
0.49	3.85	8.51
0.5	3.84	8.52
0.49	3.85	8.51
0.5	3.84	8.5
0.51	3.83	8.5
0.5	3.84	8.5
0.49	3.84	8.52
0.5	3.82	8.52
0.5	3.84	8.52
0.49	3.85	8.5
0.49	3.83	8.53
0.48	3.85	8.52
0.5	3.83	8.51
0.5	3.85	8.51
0.49	3.82	8.51
0.5	3.84	8.51
0.49	3.83	8.52
0.49	3.85	8.47
0.48	3.86	8.5
0.49	3.85	8.53
0.5	3.84	8.5
0.49	3.86	8.51
0.5	3.84	8.51
0.49	3.82	8.54
0.5	3.81	8.52
0.48	3.83	8.52
0.51	3.83	8.5
0.5	3.82	8.51
0.5	3.85	8.52
0.51	3.85	8.52
0.5	3.85	8.5
0.5	3.83	8.52
0.5	3.84	8.53
0.49	3.83	8.5
0.48	3.85	8.53
0.5	3.86	8.48
0.49	3.84	8.51
0.5	3.84	8.53
0.5	3.83	8.53
0.51	3.84	8.49
0.49	3.82	8.48
0.49	3.82	8.53
0.5	3.84	8.52
0.5	3.84	8.52
0.48	3.85	8.52
0.48	3.85	8.51
0.49	3.83	8.51
0.5	3.85	8.49
0.5	3.85	8.5
0.48	3.85	8.51
0.52	3.84	8.52
0.49	3.85	8.52
0.5	3.85	8.51
0.51	3.85	8.5
0.51	3.82	8.49
0.49	3.82	8.52
0.49	3.84	8.5
0.49	3.85	8.5
0.5	3.83	8.51
0.49	3.81	8.51
0.5	3.85	8.5
0.5	3.82	8.51
0.47	3.85	8.5
0.49	3.83	8.52
0.49	3.84	8.52
0.49	3.84	8.51
0.48	3.79	8.53
0.5	3.85	8.51
0.49	3.83	8.53
0.5	3.83	8.52
0.49	3.85	8.5
0.49	3.83	8.52
0.5	3.83	8.51
0.49	3.85	8.5
0.49	3.83	8.51
0.5	3.83	8.52
0.48	3.84	8.49
0.48	3.82	8.52
0.5	3.85	8.51
0.48	3.84	8.49
0.5	3.85	8.51
0.5	3.84	8.51
0.49	3.83	8.52
0.51	3.83	8.52
0.49	3.82	8.49
0.48	3.85	8.48
0.51	3.84	8.51
0.5	3.84	8.51
0.5	3.85	8.49
0.5	3.83	8.52
0.49	3.84	8.49
0.5	3.82	8.51
0.49	3.84	8.49
0.49	3.84	8.5
0.51	3.84	8.5
0.49	3.85	8.52
0.48	3.82	8.51
0.5	3.83	8.5
0.5	3.84	8.51
0.51	3.86	8.52
0.5	3.83	8.51
0.49	3.83	8.51
0.5	3.81	8.51
0.48	3.83	8.49
0.51	3.84	8.51
0.51	3.85	8.51
0.51	3.86	8.49
0.49	3.85	8.49
0.48	3.85	8.52
0.51	3.83	8.51
0.5	3.83	8.51
0.49	3.85	8.51
0.48	3.85	8.48
0.5	3.85	8.51
0.51	3.84	8.51
0.5	3.83	8.49
0.51	3.85	8.51
0.51	3.84	8.5
0.5	3.82	8.51
0.49	3.85	8.49
0.5	3.85	8.52
0.5	3.83	8.49
0.51	3.82	8.5
0.51	3.85	8.48
0.51	3.83	8.49
0.49	3.82	8.48
0.5	3.86	8.5
0.51	3.84	8.52
0.5	3.85	8.51
0.51	3.85	8.51
0.5	3.83	8.49
0.49	3.84	8.48
0.49	3.85	8.5
0.51	3.85	8.51
0.51	3.85	8.5
0.52	3.89	8.48
0.49	3.85	8.49
0.5	3.83	8.51
0.5	3.83	8.51
0.49	3.85	8.49
0.5	3.84	8.53
0.51	3.84	8.52
0.51	3.84	8.5
0.49	3.85	8.48
0.51	3.83	8.5
0.49	3.84	8.49
0.48	3.85	8.52
0.5	3.85	8.53
0.49	3.85	8.51
0.51	3.83	8.5
0.5	3.83	8.51
0.49	3.81	8.52
-0.98	2.48	10.35
-2.3	-1.53	7.37
-3.56	-4.84	8.18
-0.56	-4.29	10.3
0.42	-1.07	9.65
0.4	-1.53	9.65
0.17	-1.34	9.95
-0.77	-2.29	11.11
-2.8	-10.26	3.44
-6.82	-4.68	3.28
-5.09	-3.52	4.77
-7.5	-4.66	5.28
-7.49	-4.34	4.72
-7.38	-4.12	4.72
-6.71	-3.62	3.65
-7.34	-4.53	4.88
-9.02	-6.7	4.38
-7.39	-6.33	-0.54
-7.46	-4.94	-3.02
-7.45	-4.11	-4.21
-7.13	-7.57	1.21
-7.13	-6.03	-0.43
-7.23	-8.82	0.04
-7.21	-5.88	-0.94
-7.58	-6.25	-0.66
-7.18	-6.01	-0.61
-7.05	-5.24	-2.94
-7.28	-5.92	-3.91
-8.83	-8.93	1.29
-1.53	-7.25	3.49
2.62	-8.88	3.57
3.83	-9.63	0.8
3.3	-9.57	-1
3.48	-9.7	-0.78
3.45	-9.86	-1.06
2.37	-9.87	1.27
2.86	-10.66	-0.07
2.75	-9.53	0.04
4.76	-8.02	-0.19
7.86	-4.65	6.49
8.13	-4.51	3.8
8.95	-4.32	1.53
9.5	-3.01	0.58
9.24	-3.58	1.24
9.5	-3.48	1.4
9.39	-3.24	1.55
9.82	-4.14	2.87
2.08	-6.77	3.83
0.26	-5.83	1.58
1.78	-10.27	-0.7
2.48	-10.16	-1
2.27	-9.83	-1.26
2.21	-9.67	-1.27
2.38	-9.67	-1.12
2.32	-9.12	-1.6
2	-9.44	-1.62
4.15	-9.24	-2.61
3.65	-8.64	-1.83
3.36	-9.16	-1.77
3.37	-9.18	-1.51
3.46	-8.92	-2.66
3.32	-9.13	-0.54
8.5	-7.04	2.1
8.08	-3.82	1.58
9.14	-3.43	0.58
9.33	-3.37	0.48
9.08	-3.3	0.48
9.32	-2.9	0.74
9.34	-3.06	0.83
9.17	-2.92	0.79
9.32	-2.85	0.93
9.13	-3.07	0.62
9.31	-2.88	1.04
9.24	-3.25	1.08
8.83	-2.8	0.93
9.1	-2.65	1.62
9.55	-1.79	0.8
9.44	-1.77	0.94
8.77	-3.08	1.35
9.04	-4.25	1.37
8.38	-3.72	1.2
8.68	-4.8	0.86
4.47	-8.15	0.45
1.63	-9.76	2.47
3.5	-9.2	4.76
3.81	-9.45	1.39
2.35	-9.52	0.87
3.1	-9.47	2.04
2.53	-8.42	3.5
2.72	-8.18	3.76
2.33	-8.74	3.2
2.39	-9.23	3.44
2.62	-8.79	3.45
3.69	-8.75	3.18
3.68	-8.46	3.71
3.55	-7.77	4.85
5.98	-5.3	5.33
6.54	-5.54	7.59
5.67	-4.22	6.68
5.31	-3.91	7.1
5.22	-3.89	7.47
5.26	-3.8	7.16
5.17	-4.08	7.09
4.7	-6	0.82
3.25	-8.44	-5.09
2.47	-5.49	-7.93
0.28	-2.68	5.62
-0.82	0.59	9.14
-0.41	7.46	6.21
0.59	7.38	5.83
1.03	6.61	6.61
1.94	4.72	6.99
2.5	6.77	6.91
2.79	6.22	6.93
3.09	6.15	7.04
2.84	6.35	6.82
2.78	6.38	6.85
2.84	6.1	6.92
2.73	5.89	6.75
2.8	6.66	7.37
2.81	6.77	8.74
2.21	1.66	9.99
3.6	2.29	10.11
3.26	4.03	6.41
3.36	3.89	7.42
3.96	6.86	7.68
0.56	5.23	8.06
1.16	6.24	6.84
4.22	5.63	7.42
3.83	5.22	7.84
3.35	5.22	7.68
3.94	2.68	8.68
6.19	4.05	6.46
5.73	2.99	8.08
5.94	3.55	7.27
5.4	3.09	6.81
5.06	4.1	7.02
4.85	4.01	7.68
4.25	0.2	5.32
6.13	1.59	7.35
7.72	3	5.65
9.09	-2.15	2.4
9.26	0.8	0.94
10.2	-0.79	1.07
9.52	-0.87	1.42
9.92	-0.75	1.81
10.25	0.92	1.84
9.71	0.89	1.39
9.37	1.08	1.52
8.81	-0.52	1.26
10.2	-0.32	0.88
9.64	-0.04	1.16
9.74	-0.11	0.95
9.78	-0.56	1.47
9.39	0.93	1.58
9.41	-0.32	1.24
9.63	-1.81	1.98
9.76	-0.74	1.73
9.94	-0.06	1.08
10.88	0.72	-0.16
7.18	2.97	-1.86
4.82	4.46	-3.45
5.43	8.96	-0.44
5.85	7.46	-0.38
6.73	6.67	-0.8
9.74	4.59	-3.67
8.11	3.19	-4.31
8.46	3.9	-4.04
7.76	4.61	-4.24
7.78	3.07	-4.15
8.21	2.34	-4.31
8.4	2.43	-4.28
8.37	2.4	-4.15
8.44	2.54	-4.18
8.32	2.86	-4.2
8.05	3.19	-4.58
7.76	2.57	-4.89
7.81	2.82	-5.6
6.85	3.81	-6.07
7.15	2.56	-6.15
7.18	3.15	-5.42
7.59	3.34	-5.45
8.64	1.69	-4.14
7.88	1.62	-5.18
8.92	2.72	-5.49
9.46	3.93	-3.8
7.11	3.69	-4.85
6.3	4.63	-5.15
8.16	5.63	-5.31
7.44	4.42	-6.11
6.64	3.08	-7.02
7.44	2.39	-4.47
7.52	2.44	-5.56
9.47	0.87	-5.77
5.91	-2.88	-9.33
4.39	1.25	-7.96
5.58	1.66	-7.46
3.95	-2.24	-8.63
2.33	9.95	3.44
2.75	-2.28	8.5
3.05	-4.43	6.55
4.76	-8.19	3.81
2.84	-9.22	-0.34
3.48	-9.05	0.45
3.39	-9.2	0.34
3.39	-9.2	0.15
3.45	-8.64	-0.58
4.63	-6.81	5.05
4.87	-6.07	6.04
2.73	-6.29	6.79
2.91	-5.87	7.24
4.58	-6.56	6.99
2.11	-4.33	8.41
2.08	-3.73	8.98
3.52	-1.91	8.87
3.11	-2.46	8.97
3.31	-2.72	8.93
3.1	-2.94	9.59
3.81	-9.1	1.46
2.5	-8.81	3.73
4.13	-6.56	7.28
3.45	-7.66	5.36
3.11	-6.41	6.68
2.97	-6.06	6.95
2.88	-5.93	7.27
3.02	-5.77	7.27
3.2	-6.14	6.77
2.92	-9.49	3.29
2.22	-9.29	-3.59
2.4	-8.48	-4.26
2.42	-8.39	-4
2.31	-8.3	-3.73
3.14	-8.54	-4.56
2.23	-7.53	-5.37
2.42	-8.35	-4.69
3.54	-8.91	0.67
2.92	-7.22	6.6
4.64	-6.37	6.23
6.25	-5.92	3.52
6.64	-6.35	-1.14
2.62	-9.04	-2.56
3.45	-7.8	-3.49
2.95	-6.57	-4.62
3.02	-6.69	-4.75
2.75	-6.6	-3.19
4.17	-10.7	-8.86
2.01	-10.34	-4.93
3.14	-10.08	-4.03
1.3	-8.88	-4.51
4.4	-6.53	-3.56
3.66	-6.94	-2.73
4.47	-7.67	-3.28
4.58	-5.67	-1.88
4.36	-8.95	-2.32
4.02	-7.7	-0.74
4.23	-6.74	-1.13
5.2	-7.65	0.25
5.43	-9.63	-2.22
6.47	-10.02	0.17
7.33	-12.46	-1.82
6.06	-10.47	-1.01
5.24	-9.34	-1.38
4.55	-9.02	-1.13
4.43	-7.33	-2.18
4.77	-8.76	-0.01
4.35	-6.52	-0.01
3.62	-5.55	0.94
5.96	-6.51	1.21
6.85	-7.34	1.05
5.89	-6.71	0.88
7.38	-6.62	0.01
5.47	-7.07	1.47
7.17	-7.44	-0.36
7.79	-7.89	0.88
7.41	-10.49	-1.28
4.91	-10.27	1.3
5.33	-10.54	-0.98
2.08	-11.72	2.34
6.13	-10.33	-0.59
4.93	-12.26	1.17
5.58	-10.33	0.5
3.72	-12.15	2.06
3.95	-12.67	2.05
2.83	-13.6	4.49
5.73	-11.39	-0.43
1.96	-12.24	1.92
7.36	-9.71	-3.43
8.84	-10.67	3.36
7.1	-6.45	0.36
6.83	-6.86	1.26
7.15	-5.25	0.32
7.91	-7.75	1.15
7.03	-4.33	0.76
5.79	-6.16	0.76
5.96	-4.42	0.14
6.23	-5.95	0.13
6.08	-3.58	0.99
5.76	-4.37	-0.22
6.73	-4.14	0.58
10.47	-2.92	-0.45
10	-7.42	1.91
9.81	-6.92	-0.84
11.81	-4.27	1.06
9.71	-7.96	0.16
11.44	-4.73	2.01
11.43	-8.31	0.2
9.96	-8.04	1.14
12.52	-4.54	0.08
10.04	-7.56	1.41
11.94	-8.86	-0.2
12.58	-6.65	1.37
11.49	-5.39	0.6
9.95	-5.25	1.71
9.31	-7.7	-0.64
10.16	-7.23	-0.97
9.38	-6.13	-0.3
6.95	-6.2	-0.16
5.46	-4.25	0.12
5.54	-4.72	1.01
7.46	-3.9	-0.02
10.26	-3.13	-1.88
10.43	-4.12	1.11
10.48	-5.03	-1.49
9.6	-3.96	0.89
12.74	-6.02	0.04
9.83	-7.61	-0.32
10.51	-5.7	-0.24
10.09	-7.53	0.68
9.97	-4.28	-0.82
10.51	-5.95	-1.1
10.29	-5.21	-0.72
10.72	-6.73	-0.95
10.52	-6.42	-1.64
11.91	-7.34	1.28
12.82	-5.08	-2.39
10.7	-4.33	0.44
13.1	-6.45	-2.07
11.87	-5.57	1.04
12.42	-5.39	-0.97
10.39	-6.3	0.26
11.13	-7.09	-1.53
10.16	-7.56	0.5
9.79	-5.46	-0.3
8.22	-8.58	0.71
9.56	-5.93	-0.08
6.66	-6.51	0.85
8.21	-4.58	0.08
8.42	-7.17	1.97
6.07	-4.34	1.07
8.83	-7.74	2.05
9.89	-5.02	-0.27
13.58	-6.24	2.27
13	-6.72	0.7
11.71	-6.33	2.67
10.93	-6.26	-1.44
11.91	-3.79	1.64
9.93	-4.56	-0.2
9.09	-2.78	2.13
12.25	-3.43	-2.19
10.36	-2.94	2.7
9.75	-3.54	-1.69
8.14	-2.9	0.76
5.43	-2.66	0.3
5.53	-2.77	1.63
5.59	-3.08	1.14
6.57	-4.14	2.11
6.2	-4.55	1.87
5.18	-2.87	1.82
6.7	-4.16	2.4
5.38	-3.91	1.59
5.94	-4.11	0.65
5.43	-3	2.02
6.31	-4.2	1.13
5.9	-4.28	1.54
7.33	-5.92	2.23
6.57	-4.67	2.27
7.41	-5.53	2.34
5.73	-3.68	0.96
6.45	-4.14	1.52
5.58	-2.99	1.08
5.83	-3.49	0.05
8.53	-3.84	0.81
13.49	-4.08	-1.33
11.29	-4.09	2.87
8.92	-4.11	-1.57
12.58	-3.84	1.15
11.32	-3.68	-1.6
11.35	-2.42	2.44
12.55	-2.4	-0.29
11.39	-2.58	1.77
12.02	-3.04	0.03
10.79	-2.14	2.89
8.2	-4	1.32
12.62	-3.15	3.01
14.06	-4.1	2.1
12.25	-5.59	4.25
12.76	-6.14	3.3
10.57	-5.99	3.41
