Gyroscope [X]	Gyroscope [Y]	Gyroscope [Z]
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3.46	1.68	2.98
35.43	3.06	5.49
-19.1	7.94	-3.78
3.51	0.98	3.03
-2.72	0.65	2.36
0.57	-0.89	2.66
5.75	0.34	-0.56
-6.27	-0.79	-0.82
-0.09	-0.29	-0.65
0.77	-0.75	0.08
3.89	0.44	-0.86
-7.28	1.2	-0.47
-6.1	5.65	4.45
-24.52	-2.76	1.44
6.81	4.73	7.27
2.67	-0.89	-1.91
-2.02	-0.73	0.83
-6.74	-0.73	-0.92
-8.01	-0.38	1.36
-5.92	2.43	-4.28
2.55	1.48	-0.42
6.43	1.7	1.85
12.79	3.2	-0.5
-21.25	2.32	1.62
8.54	1.58	7.04
-3.96	-2.27	1.37
7.48	1.09	-1.2
6.78	0.84	-2
-3.04	2.71	-1.22
9.31	1.28	1.68
4.45	-0.35	-0.72
-5.68	-0.7	0.53
13.68	-1.22	0.53
-8.54	0.18	-0.26
8.19	-2.57	0.36
-9.35	0.66	0.37
-3.47	-1.75	-0.9
-6.06	1.6	0.45
-2.41	1.31	0.46
-6.29	1.81	0.11
-4.53	5.74	-2.16
-2.89	1.45	-3.6
-2.87	0.77	0.2
6.21	0.84	-2.66
3.51	-7.91	7.83
-8.92	-3.15	-1.74
3.05	-0.07	-4.52
8.86	-0.34	1.87
-31.8	-7.74	0.6
0.45	1.72	0.76
3.11	-0.04	0.59
0.52	-1.56	-2.32
5.02	-1.13	1.8
-4.23	2.68	0.18
11.42	-1.08	-2.88
6.42	-0.91	-1.41
1	-0.05	0.27
-4.51	0.12	0.31
17.07	-3.54	-2.44
15.82	-2.78	-1.41
-24.76	-1.2	1.55
-1.01	0.11	0.03
0.47	-0.28	-0.18
0	-0.02	0.01
0.02	-0.06	0.02
12.31	-3.48	-3.85
-1.66	0.4	0.25
2.12	0.04	-0.13
1.1	-0.96	-1.1
1.48	-0.19	1.08
7.72	-0.43	-0.32
-4.55	-1.07	-0.76
1.6	0.48	-0.15
1.11	0.04	-0.39
-18.78	-1.14	-0.99
-0.1	-0.08	0.14
-0.03	0.01	0.01
-0.04	-0.01	0
0.01	0.01	0
-0.05	0.05	-0.07
-0.01	-0.01	-0.01
0	0	0
0.01	0	0
0	0	0
0	0.03	-0.03
0	0	0
0	0	0
-0.02	0.03	-0.02
0	0.01	0
-0.01	0.01	0
0.01	0.01	0
0	0	0
-0.02	0.07	-0.06
-13.88	-1.95	1.78
3.69	-1.16	0.37
3.53	-3.89	0.72
-0.22	0.01	-0.03
-0.56	-0.07	-0.05
0	0	0
-0.71	-0.95	-0.19
14.21	0.15	-0.66
5.68	2.85	2.91
-1.36	-5.24	0.28
-14.98	-0.44	-1.55
-2.23	-0.95	-0.71
-13.88	-0.05	-0.25
9.01	1.03	-1.59
3.03	1.95	-0.9
-0.33	0.17	0.17
2.14	-0.17	-0.15
4.22	-0.32	-1.19
-1.31	0.15	-0.22
-0.07	0.11	0.04
0.25	-0.06	0.01
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.01	0	-0.01
0	0	0
-0.01	-0.01	0.01
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.02	0.01	0
1.58	-0.36	0.11
-19.94	1.41	-2.98
28.36	0.87	-1.31
-33.82	0.83	-0.46
-2.55	-2.49	-7.89
-34.28	0.85	-4.86
4.88	0.17	-2.28
-7.35	-3.58	-1.18
5.48	-2.11	-1.71
5.09	-4.75	0.37
3.87	3.74	3.13
-5.53	1.14	-1.88
3.33	-2.62	-0.58
-5.87	10.44	43.44
0.28	3.04	-2.75
23.25	3.38	0.53
3.99	-1.42	1.22
-1.19	0.48	-2.29
-11.9	-6.93	-9.18
10.47	5.46	5.48
1.09	-3.94	-0.38
14.21	-1.57	-0.02
-6.52	-0.77	0.03
-0.8	-0.03	-0.44
-3.36	-0.55	0.32
1.18	1.79	-0.39
-0.85	-1.15	2.11
3.13	0.27	0.7
-3.18	0.67	1.07
-2.9	0.7	-2.78
-5.63	-2.14	0.3
-1.28	-0.33	-1.53
3.72	0.21	-0.21
2.25	3.57	0.4
10.35	-1.87	-2.5
6.27	0.08	0.32
0.91	0.33	-0.01
1.54	-0.12	-1.46
12.14	-1.61	0.61
-1.54	-1.79	-3.15
-13.84	2.01	-2.12
5.16	-1.55	1.73
8.92	0.54	-0.83
21.37	-1.38	-0.03
-17.06	2.12	-1.14
5.08	-0.21	-1.51
9.07	1.98	-1.06
-6.25	-0.21	-0.62
1.72	-0.22	-0.06
-3.68	-0.87	0.04
-2.35	-1.25	0.43
-13.63	-0.33	-0.62
8.51	-1.65	-0.08
2.11	-0.54	1.42
8.58	-0.61	-0.17
3.42	-0.22	2.13
5.39	0.26	2.1
-11.45	2.56	-1.29
-12.27	2.79	-3.19
3.88	-0.65	1.89
1.43	0.42	0.19
-3.29	-2.06	7.01
22.91	0.83	-3.43
3.15	-0.02	-0.1
-1.91	0.02	0.02
-0.09	0	0
-0.02	0	0
0	0	0
0.01	0	0
-0.01	0	0
0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.33	0.28	-1.61
-11.33	2.65	-1.43
-10.61	1.64	1.72
-5.7	4.03	3.42
-2.44	0.07	0
-0.21	0.01	0
-0.02	0	0
0	0.01	0
0.01	0	0
-0.01	0	0
0	0	0
-0.01	0	0
0	0	0
-0.01	0	0
0.01	0	0
0	0	0
0	0	0
-0.01	0	0
0	0	0
0	0	0
-0.01	0	0
0	0	0
0.01	0	0
0	0	0
-0.05	0	0
0.09	0	0
-0.24	0.01	0
0	0	0
0.1	0	0
0	0	0
0	0	0
0	0	0
0.04	0	0
0	0	0
-0.01	0	0
0	0	0
0	0	0
-0.01	0	0
0	0	0
0.01	0	0
0	0	0
-0.01	0	0
0	0	0
0	0	0
0.01	0	0
-0.01	0	0
0	0	0
0	0	0
0.03	0	0
-0.01	0	0
-0.08	0	0
-0.19	0.01	0
-0.04	0	0
0	-0.01	0
0.01	0	0
0	0	0
0	0	0
0.01	0	0
0.01	0	0
-0.01	0	0
0	0	0
-0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.02	0	0
-0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.01	0	0
0	0	0
0	0	0
0.03	0	0
-0.01	0	0
0	0	0
0	0	0
-0.01	0	0
0	0	0
0.01	0	0
0.01	0	0
0	0	0
0.01	-0.01	0
0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.01	0	0
0	0	0
-0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.01	0	0
0	0	0
0	0	0
0	0	0
0.01	0	0
0	0	0
0	0	0
0.01	0	0
0	0	0
0	0	0
0	0	0
-0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0.01	0
0	0	0
0	0	0
0	-0.01	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	-0.01	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.01	0	0
0	0	0
0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.01	0	0
-0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.01	0	0
0.01	0	0
-0.02	0	0
0.01	0	0
0.01	0	0
0	0	0
0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.01	0	0
-0.01	0.01	0
0	0	0
0.01	0	0
-0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	-0.01	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.01	0	0
-0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	-0.01	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.01	-0.01	0
0	0	0
0	0	0
0	0	0
0	0	0
0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.01	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.04	0.76	-0.31
-1.83	0.31	0.26
0.57	-0.18	-0.33
0.4	-0.83	-0.25
0.21	-0.01	0
0.11	0	0
0.25	0.6	0.57
-1.4	-0.19	-0.15
-0.31	0.45	1.1
0.98	0.08	0.57
-0.08	-0.06	0.05
0.28	0	-0.19
0.11	-0.01	-0.02
0.08	-0.01	-0.08
-0.11	0.12	-0.19
0.64	0.24	0.04
-1.99	-0.03	-0.18
-1.68	0.55	0.07
0.23	-0.03	-0.03
0.47	-0.07	-0.06
0.32	-0.04	-0.07
-0.34	0.01	0.05
0.39	0.05	0.06
-0.03	-0.03	0.11
0.11	-0.01	-0.02
-0.06	0.01	-0.01
-0.92	0.19	-0.05
0.8	-0.07	-0.13
2.87	-0.54	-0.05
1.6	-0.7	-1.35
0.42	-0.77	0.14
-0.75	-1.03	-0.12
0.08	0.03	0.05
-0.14	0.06	0.06
-0.07	0.06	0.04
0.11	-0.17	0.05
-0.04	0.01	0.02
0.09	-0.01	-0.04
0.67	0.09	-0.92
-0.17	-0.41	-0.17
-0.11	-0.12	-0.09
-1.12	-0.2	-0.48
-0.51	0.24	0.19
-0.09	0.23	0.17
0.08	0.03	-0.07
0.21	0.04	0.04
-0.55	0.42	0.7
-0.31	0.45	0.88
0.93	-0.31	0.06
-0.31	0.05	-0.1
-0.12	-0.02	-0.06
-0.05	-0.01	0.01
0.08	0.12	-0.03
-0.08	-0.05	-0.03
-0.06	0.27	-0.22
0	0.18	-0.02
-0.03	0.78	-0.01
0.22	-0.76	0.03
0.13	-0.23	-0.12
-0.04	0.06	0.05
0.11	0.01	0.02
0.44	-0.51	-0.23
1.02	-0.29	-1.45
0.04	-0.22	-0.11
-0.15	0.09	-0.17
0.18	-0.09	0.11
0.29	-0.02	-0.04
0	0.03	0.01
0.02	0.06	0.05
0.05	0.03	-0.01
0.03	-0.03	0.03
0.22	0.01	-0.03
0.04	0.01	-0.01
-0.07	0.09	-0.03
-0.22	0.06	-0.02
0.27	0.01	-0.09
-0.12	-0.22	-0.17
-0.1	0.05	0.15
-0.14	-0.08	0.21
0.21	-0.12	0.03
0.03	0.16	-0.01
0.31	0.14	0.33
-0.4	-0.26	1.97
0.26	0.03	0.1
0.45	0.15	-0.72
-0.23	0.24	-0.1
0.22	-0.35	-0.07
0.13	0.26	-0.35
-0.29	0.14	0.07
0.14	-0.02	0.08
-0.07	0.06	-0.01
0.02	-0.03	0
0.06	-0.02	-0.08
0.16	0.03	-0.03
0	0.02	0
0.2	0.19	-0.34
0.25	1.08	-0.72
0.2	0.55	-0.91
-0.21	0.02	-0.1
0.07	-0.02	0.03
-0.01	0	0.01
-0.04	0	0
0.03	0	0.08
-1.77	-0.98	0.68
-0.75	-0.59	-0.18
0.91	-0.04	0.09
7.64	1.13	0.12
0.18	0.27	0.19
-0.22	0.3	0.43
-0.05	-0.33	-0.13
-0.25	-0.39	-0.37
-0.36	-0.34	0.2
0.04	-0.03	0.14
0.13	-0.06	0.05
0.01	-0.04	-0.01
0.09	0.03	0.03
0.04	-0.04	-0.03
-0.04	0.03	-0.03
0.05	-0.04	-0.02
-0.21	0.13	0
-0.4	0.07	0.11
-0.82	-0.1	0.42
0.91	-0.15	1.04
0.66	-0.02	0.29
-0.34	0.78	1.69
0.22	0.28	0.11
0.93	0.14	-0.35
-1.04	-0.44	0.73
-0.01	-0.11	-0.02
-0.13	0.1	0.21
0.04	-0.13	-0.3
-0.37	-0.78	-0.15
-1.66	-0.63	-1.28
0.06	-0.07	-0.37
-1.15	0.29	-0.91
-0.15	-0.25	-0.2
0.02	0.29	0.63
0.32	0.27	0.36
-0.58	-0.67	-0.01
0.64	0.09	0.44
0.79	-1.42	1.05
3.64	0.51	0.38
0.57	0.1	0.64
-0.76	0.22	0.06
-0.38	-0.13	-0.24
-0.19	-0.05	-0.05
-0.33	-0.04	-0.08
-0.4	-0.02	-0.06
-0.44	0.09	0.07
1.34	-0.09	0.16
-0.42	0.02	-0.06
-0.34	-0.01	0.01
0.11	-0.13	0.01
0.63	0	-0.08
0.55	0.17	0.02
1.48	-0.01	0.12
2.46	-0.33	0.15
-0.67	-0.08	-0.09
-0.83	0.18	-0.05
0.17	-1.74	-0.79
-0.39	0.89	-0.72
0.05	-0.35	-0.87
-0.09	-0.15	-0.01
-1	0.09	0.03
0.13	-0.2	0.32
0.75	-0.65	0.54
-0.67	0.03	0.01
0.23	0.17	-0.2
0.01	0.02	0.05
0.4	0.07	0.26
-0.1	0.12	-0.06
-0.05	0	0.01
0.04	-0.01	0
0.12	0.01	-0.18
-0.22	-0.1	0.24
0.28	-0.04	-0.17
0.3	-0.07	-0.29
0.05	0.02	-0.18
-0.06	-0.04	0.04
-0.07	0.05	0.11
0.07	0.06	-0.09
0.12	0.14	0.01
0.03	0.09	-0.27
-0.03	-0.06	0.03
-0.69	-0.05	-0.11
-0.73	-0.37	-0.18
-0.02	0.27	-0.09
0.04	0.01	0.01
0.69	-0.07	-0.11
0.05	-0.32	0.44
0.21	-0.15	0.09
0.19	0.01	-0.13
-0.03	-0.22	0.31
-0.77	-0.4	0.56
-0.07	-0.3	-0.73
0.92	0.05	-0.26
0.05	0.08	-0.37
0.42	-0.75	-0.76
-4.55	0.34	1.05
-0.69	-0.21	0.04
-0.5	-0.41	-0.18
-0.31	0.01	0.93
0.12	-0.08	0.02
-0.04	0.01	0
0.01	-0.04	0
0.12	-0.34	-0.06
0.12	-0.06	0.02
0.54	-0.06	-0.34
0.05	0.2	0.28
0.13	-0.21	0.38
0.05	-0.05	-0.06
0.24	0.19	-0.6
0.4	0.58	0.02
-0.09	-0.41	-0.52
0.12	0.17	0.01
-0.05	0.05	0.02
-0.15	-0.01	-0.01
-1.08	-0.13	0.33
-0.15	-0.41	0.25
-0.06	0.03	0.06
-0.62	-0.33	0.59
0.55	-0.1	0.02
0.38	0.07	0.11
0.06	-0.02	-0.02
-0.05	0.07	-0.02
-0.05	0.06	-0.03
-0.07	-0.02	-0.02
-1.51	0.08	0.14
-0.2	0.31	0.29
-0.03	-0.02	0
0.06	-0.05	-0.06
-0.03	-0.09	-0.09
0.17	-0.85	-0.25
0.07	-0.41	-0.18
0.01	-0.36	-0.25
1.55	1.01	-0.56
1.03	0.83	0.01
-0.68	0.02	-0.31
-0.97	-0.75	-0.62
0.08	-1.36	0.65
-0.07	-0.39	0.62
-0.51	0.25	-0.84
0.12	-0.13	0.24
0.14	-0.46	-0.01
-0.43	0.35	0.14
0.31	-0.88	-0.43
0.12	-0.37	0
0.31	-0.95	-0.49
-0.12	0.26	-0.08
-0.49	0.48	-0.1
0.1	-0.38	-0.44
0.11	-0.25	0.12
0.33	0.77	0.29
0.03	-0.37	-0.12
0	0.1	-0.02
0.27	-0.15	-0.04
-0.12	0.86	-0.04
0.6	0.06	0.12
-0.11	0.38	0.15
-0.03	-0.38	0.06
-0.3	-0.03	0.05
-0.17	-0.09	0.01
-0.23	-0.57	-0.04
0.26	0.83	0.2
0.25	-0.27	0.02
-0.12	0.48	0.12
0.46	-0.28	0.03
-0.07	0.48	-0.36
1.12	-0.69	0.32
-0.15	0.2	0.26
0.19	-0.75	-0.05
0.53	0.52	0.4
0.07	-0.44	-0.21
-0.43	0.22	-0.19
0.83	-0.52	0.39
-0.28	0.36	0.37
0.58	-0.69	0.24
0.04	0.18	0.65
-0.71	0.02	-0.4
-0.11	0.26	0.49
-0.03	-0.39	0.25
0.06	0.5	0.11
0.57	-1.01	0.43
-0.03	-0.11	0.38
0.17	-0.72	-0.51
-1.4	-0.26	0.47
-1.17	0.5	-0.38
0.31	0.51	-0.41
0.43	-0.13	0.25
-0.25	-0.59	-0.12
0.03	0.28	0.1
-0.01	-0.19	-0.17
-0.03	0.43	0.21
0.15	-0.08	0.1
0.04	0.07	-0.09
0.51	0	-0.1
-0.51	0.32	0.09
0.64	0.02	0.31
-0.77	0.18	0.09
0.23	-0.23	-0.21
0.03	0.34	-0.13
0.59	-0.77	0.15
0.61	0.74	-0.11
0.99	-0.39	0.27
0.39	0.61	-0.05
0.72	-0.59	-0.05
0.2	0.42	0.01
1.07	-0.23	-0.78
0.39	0.25	-0.01
0.91	-0.81	-0.04
0.43	0.53	-0.15
0.81	-0.57	-0.44
0.49	0.22	0.07
0.55	-0.42	0.22
-0.35	0.69	0.43
0.09	-0.36	-0.11
-0.42	0	0.18
-0.08	-0.05	0.04
0.42	-0.38	-0.08
-0.47	0.15	0.03
0.51	-0.55	0.05
-0.73	-0.02	0.21
-0.01	-0.12	0.03
0.21	0.43	-0.15
0.47	-0.43	-0.55
-0.65	0.09	0.21
0.18	-0.27	0.09
-0.66	0.3	-0.02
0.12	-0.2	-0.14
-0.61	0.12	0.26
0.43	-0.41	0.09
-0.38	0.09	0.17
0.9	-0.39	0.05
-0.56	0.63	0.29
0.93	-0.56	-0.3
-0.09	0.46	-0.04
0.53	-0.34	-0.36
-0.38	0.67	-0.63
0.82	-0.65	-0.43
-0.37	0.69	0.01
0.23	-0.67	-0.06
-0.91	0.49	-0.04
0.13	-0.11	0.07
-1.29	0.19	0.39
-0.07	-0.08	0.15
-0.59	-0.21	0.28
0.04	0.28	0.24
-0.61	0.11	-0.04
-0.17	0.18	-0.01
-1.42	-0.11	-0.18
0.24	-0.26	0.32
-0.13	0.49	0.16
0.62	-0.65	0.15
0.17	0.44	-0.02
0.77	-0.78	0
-0.26	0.37	0.05
-0.1	-0.44	-0.38
-0.74	0.41	-0.14
0.57	-0.27	-0.21
-1.41	0.54	0.06
0.43	0.03	-0.15
-0.46	0.4	-0.32
1.41	-0.36	-0.07
-0.66	0.44	-0.04
0.75	-0.16	0.28
-0.75	0.42	0.07
0.67	-0.4	0.04
-0.26	0.51	-0.09
0.64	-0.42	0.28
-0.58	0.2	-0.17
0.1	-0.3	-0.11
-0.32	0.4	0.23
0.7	-0.39	0.11
-0.94	0.51	0.14
-0.25	-0.17	0.13
-0.48	0.15	0.03
-0.35	-0.24	-0.07
-0.27	-0.09	0.17
0.29	-0.37	-0.33
-0.56	0.28	0.01
1.19	-0.17	-0.12
-0.68	0.24	0.2
0.72	-0.45	-0.28
-0.45	0.15	0.55
0.41	-0.1	-0.13
-0.25	0.11	-0.32
0.46	-0.29	-0.2
-0.89	1	0.25
0.64	-1.03	-0.18
0.01	0.42	0.04
0.56	-0.14	0
-0.7	0.54	0.08
-0.43	-0.29	-0.13
-0.06	0.71	0.06
1.06	-0.77	-0.36
0.9	0.97	0.22
1	-0.64	-0.66
-0.22	0.5	0.11
0	-0.5	0.38
-0.52	0.48	-0.03
0.53	-0.71	0.36
0.32	0.73	-0.73
1.02	-0.87	-0.26
-1.7	0.62	-0.66
1.31	-0.85	0.15
-0.73	0.53	-0.64
0.46	-0.31	0.34
-0.95	0.15	-0.68
1.25	-0.2	0.05
-1.75	0.74	-0.63
0.23	0.33	0.28
-0.73	0.21	-0.65
0.27	-0.18	0.38
-0.35	0.27	-0.44
1.17	-0.03	0.41
-1.02	0.02	-0.31
0.59	-0.03	0.79
-0.23	-0.29	-0.28
0.77	-0.07	0.33
-0.42	-0.09	-0.28
0.61	0.09	0.6
-0.55	0.15	-0.51
0.3	0.25	0.52
-0.1	-0.08	-0.42
0.96	0	-0.1
0.43	-0.24	-0.46
-0.23	-0.23	-0.52
0.53	-1.56	1.42
0.22	0.26	-0.94
2.03	0.17	-0.13
1.14	0.25	-0.69
0.18	0.04	0.04
0.39	-0.22	-0.38
1.2	-0.03	-0.31
-0.77	0.16	-0.41
1.16	-0.06	0.03
-0.95	0.12	-0.28
1.22	-0.09	0.2
-1.47	0.75	0.37
0.21	-0.45	0.12
-1.06	-0.03	-0.19
0.31	-0.15	-0.37
0.51	-0.54	-0.27
0.26	-0.03	-0.02
-0.08	0.44	0.1
1.49	-0.26	-0.49
-0.6	-0.04	0.14
0.36	-0.11	0.09
1.02	-0.11	0.5
-0.2	-0.6	-0.58
-0.15	0.16	0.55
0.39	-0.21	-0.64
0.15	0.26	0.77
0.94	-0.87	-0.81
-0.75	0.25	-0.3
0.78	-0.12	-0.02
-0.26	0.69	-0.06
0.63	0.34	0.13
-0.82	0.71	0.07
-0.14	-0.67	0.17
-0.57	0.53	0.14
0.45	0.13	0.38
-0.78	0.78	0.46
-0.33	-0.02	-0.13
-0.06	-0.26	0.28
1.1	-0.57	-0.71
0.25	0.09	0.31
-0.16	-0.42	-0.68
-0.09	0.1	0.71
0.69	-0.57	-1.03
0.01	0.03	0.56
0.48	-0.29	-0.3
0.24	-0.06	0.68
-0.04	0.5	-0.63
0.07	0.19	0.51
0.75	0.05	-0.81
-0.23	-0.02	0.42
0.7	-0.35	-0.78
-1	0.39	0.67
1.19	-0.21	-0.63
-0.3	0.31	0.34
0.19	-0.15	-0.4
-0.05	-0.28	0.78
0.53	-0.33	-0.59
-0.51	-0.2	0.72
-0.1	0.07	-0.49
-0.38	0.43	0.88
0.5	0.04	-0.53
-0.19	-0.41	0.15
-0.26	-0.41	-0.31
-0.39	-0.64	0.48
-0.04	0.04	-0.88
0.21	-0.07	0.14
0.63	-0.07	-0.56
0.21	0.07	0.56
0.37	0.1	-0.17
-1.08	-0.22	1.16
0.29	-0.26	-0.76
-0.75	-0.14	1.09
-0.28	-0.29	-0.06
-0.94	0.52	0.9
-0.28	-0.41	-0.21
-0.98	0.08	-0.08
1.45	-0.17	-0.33
0.71	0.52	-0.31
-0.23	-0.81	-0.2
-0.34	0.13	0.06
0.94	-0.14	-0.4
0.5	0.08	0.85
0.04	-0.15	-0.18
-0.69	-0.01	0.73
0.11	0.12	-0.19
0	0.01	0.22
-0.16	-0.07	-0.27
-0.4	-0.05	0.28
0.14	-0.07	-0.05
0.29	0.02	0.69
0.3	-0.34	-0.23
0.2	-0.55	0.15
-0.15	-0.01	-0.96
0.7	-0.1	0.68
-0.31	-0.19	-0.56
-0.77	0.29	0.62
-0.28	0.02	-0.2
-0.13	-0.02	0.53
0.19	0.16	-0.76
0.22	0.22	0.57
-0.03	-0.28	-0.43
-0.39	-0.01	0.77
0.05	0.12	-1.01
0.19	0.2	0.48
-0.22	-0.49	-0.91
0.22	0.25	0.81
0.32	-0.4	-0.36
-0.26	0.26	0.14
0.17	0.2	0.78
-0.76	0.26	0.15
-0.21	0.27	-0.23
-0.5	-0.24	-0.5
-0.05	-0.01	0.04
-0.13	0.04	-0.43
-0.3	0.41	0.87
0.37	-0.3	-0.59
-0.27	0.06	0.64
0.12	-0.15	-0.33
0.45	-0.05	0.52
0.3	-0.82	-0.69
0.02	-0.63	0.49
-0.32	-0.19	-0.09
-0.03	0.22	0.57
0.34	-0.31	-0.53
0.13	-0.38	0.94
-0.21	-0.83	-0.65
0.87	0.06	0.4
0.13	-0.4	0.15
-1.05	0.77	0.43
0.96	0.01	-0.38
-0.61	0.24	0.36
-0.22	-0.06	-0.52
-1.19	0.48	-0.47
0.08	0.32	-0.3
-0.76	0.07	-0.17
0.51	0.49	-0.36
-1.46	0.76	0.22
0.32	0.16	0.33
-0.69	0.55	0.26
0.12	-0.11	-0.16
-0.15	-0.26	-0.68
-0.55	0.28	0.53
1.16	-0.36	-0.52
0.54	0.02	0.39
0.61	0.06	-0.37
0.59	-0.58	0.39
0.29	0.12	-0.31
0.08	0.16	-0.02
0.07	-0.17	-0.6
0.41	0.49	0
-0.5	0.78	0.04
0.27	-0.25	-0.66
-0.16	-0.27	-0.27
-0.01	0.11	0.04
-0.15	0.29	-0.15
-0.27	0.03	-0.25
-0.11	0.15	-0.42
0.12	-0.1	-0.02
0.36	-0.33	-0.16
-0.06	0.07	0.51
0.84	-0.04	-0.59
0.06	-0.08	0.15
0.31	-0.21	-0.31
-0.72	0.41	0.7
0.83	-0.39	-0.88
-0.69	-0.11	0.18
0.28	-0.17	-0.04
0.52	0.51	0.26
0.26	0.12	0.02
-0.25	0.47	-0.18
0.09	0.03	0.38
-0.15	0.69	-0.15
0.09	-0.17	-0.34
0.05	-0.07	-0.22
0.53	-0.17	0.64
0.07	-0.16	-0.42
-0.53	0.09	0.62
0.21	0.05	-0.56
0.45	-0.2	0.06
0.4	-0.03	-0.24
0.29	-0.22	0.18
0.4	-0.25	-0.15
0.15	-0.46	0.46
0.64	0.05	-0.67
-0.01	-0.22	-0.01
-0.58	0.07	-0.11
0.41	0.18	0.6
-0.43	-0.01	-0.31
0.5	0.06	0.61
