Linear Accel. [X]	Linear Accel. [Y]	Linear Accel. [Z]
-1.53	3.96	-3.59
-6.69	3.63	2.3
4.51	-1.18	2.68
8.11	4.64	-2.45
-0.26	0.73	-11.6
2.18	1.73	-6.31
1.7	-0.19	-1.7
5.59	1.3	2.66
-2.72	-4.96	-4.22
-4.23	-3.22	0.99
0	1.36	4.15
-0.53	-0.61	0.62
-0.75	0.51	5
-1.1	-0.42	-1.75
0.53	0.54	-2.59
-7.22	-4.25	-4.49
1.08	-0.55	1.29
-6.9	-7.24	5.47
5.14	0	0.41
-1.53	4.34	3.91
-11.45	-8.24	-5.77
-3.22	-5.74	-3.9
1.05	4.05	-7.38
-0.42	8.01	-0.32
-5.36	-1.46	10.23
-2.15	-2.63	11.48
6	-0.61	-1.05
2.91	3.08	1.74
-9.48	4.26	5.2
6.23	5.59	-2.3
1.68	6.72	-3.13
2.09	5.96	-1.24
4.3	1.41	-1.65
-1.39	1.15	-1.28
4.84	-4.31	1.63
1.79	5.95	-3.22
0.04	4.45	-3.82
1.1	2.15	-4.03
-16.44	2.18	-7.96
-3.75	16.81	-4.5
-3.17	-1	1.82
8.51	-2.74	-2.89
-5.33	2	-2.54
2.88	0.7	-2.19
0.24	2.29	-2.55
-0.9	0.25	0.63
-6.79	-0.05	1.21
2.66	0.26	3.36
-5.6	1.82	-0.8
0.99	-2.31	-3.25
-1.15	-2.59	-1.17
0.51	2.74	-3.39
-0.08	6.41	1.03
-0.75	1.54	4.11
2.1	-0.01	2.48
-1.47	-1.16	0.13
-1.08	0.54	0
2.54	-0.34	-2.02
0.18	-1.26	-0.08
-0.63	0.21	1.44
-0.07	-5.24	8.37
-0.78	2.42	-2.28
-8.41	-6.53	0.46
-4.82	-0.63	3.26
-22.69	1.72	-6.59
-1.76	-0.24	9.26
-6.62	-0.93	-0.75
-4.7	-1.6	-3.21
1.44	-8.87	-0.09
-11.26	-6.03	4.27
-3.28	5.61	11.6
-2.22	-8.39	3.06
-1.33	-2.29	7.39
6.57	3.52	-8.14
16.39	-8.26	7.91
-10.31	-11.24	-3.35
-4.89	9.77	-5.79
-1.18	8.02	6.1
-0.83	0.28	-5.9
2.65	7.16	-14.29
-6.5	5.32	16.49
3.8	2.97	-20.68
6.55	-1.57	-8.48
-8.17	2.36	-5.13
18.25	-0.49	5.96
-11.41	0.05	7.89
-12.83	-0.99	0.18
2.08	-34.39	7.17
15.73	20.3	-23.87
-7.91	-1.07	-5.04
-9.98	5.89	-0.15
-20.54	-7.85	0.37
-1.39	8.32	6.36
-2.74	7.42	3.87
-0.36	-0.05	-1.31
-0.23	0.67	-0.75
-0.16	0.67	-0.78
-0.26	0.03	-0.05
-0.17	0.04	-0.07
-0.13	0.03	-0.04
-0.13	0.03	-0.1
-0.11	0.04	-0.05
-0.13	0.06	-0.06
-0.12	0.03	-0.04
-0.14	0.05	-0.06
-0.11	0.04	-0.07
-0.12	0.02	-0.09
-0.12	0.05	-0.07
-0.11	0.04	-0.07
-0.11	0.03	-0.07
-0.1	0.03	-0.05
-0.13	0.04	-0.05
-0.13	0.03	-0.04
-0.11	0.04	-0.04
-0.12	0.05	-0.07
-0.12	0.06	-0.06
-0.13	0.05	-0.05
-0.11	0.03	-0.05
-0.12	0.03	-0.04
-0.11	0.05	-0.07
-0.13	0.05	-0.08
-0.11	0.06	-0.06
-0.11	0.04	-0.06
-0.12	0.04	-0.08
-0.13	0.03	-0.08
-0.11	0.05	-0.04
-0.12	0.04	-0.05
-0.11	0.02	-0.05
-0.11	0.03	-0.09
-0.11	0.06	-0.06
-0.12	0.04	-0.06
-0.11	0.06	-0.09
-0.11	0.08	-0.06
-0.11	0.06	-0.07
-0.13	0.04	-0.06
-0.11	0.04	-0.04
-0.13	0.04	-0.07
-0.12	0.05	-0.06
-0.1	0.03	-0.05
-0.11	0.06	-0.06
-0.11	0.04	-0.04
-0.12	0.05	-0.05
-0.12	0.07	-0.06
-0.13	0.06	-0.07
-0.13	0.06	-0.06
-0.13	0.04	-0.05
3.12	-5.6	-8.43
-10.25	4.67	-17.36
3.35	7.7	19.84
2.8	3.6	9.68
-3.17	-2.77	-8.64
-3.77	2.74	10.47
-7.9	-2.67	-8.08
0	13.67	-17.7
-1.57	8.12	16.36
-1.48	8.24	7.11
-4.3	3.58	-7.79
0.12	10.5	2.76
-1.87	11.58	-17.32
7.03	9.11	-7.53
7.57	17.41	-14.95
5.24	7.76	4.6
5.78	7.23	-0.33
7.26	-1.43	8.52
6.3	-5.13	-6.8
-3.05	3.09	10.86
0.99	-9.9	-11.81
-7.97	8.48	9.42
-9.52	7.59	-2.98
-3.57	-6.27	-0.8
-5.58	-10.35	-16.26
-12.66	5.81	-0.96
-17.9	6.81	1.08
-8.02	-3.91	0.5
-6.83	-4.45	9.21
-13.66	-5.4	6.02
-5.49	-0.11	-11.3
-21.38	4.34	-13.33
-9.6	17.5	3.51
-6.38	2.22	-4.73
-14.28	-4.77	26.71
-15.43	-4.31	4.97
-9.33	-7.77	-15.87
-10.02	-1.55	-7.41
-6.64	8.36	-5.21
-24.25	-6.71	-9.98
-7	-0.33	10.32
-6.92	-6.4	5.73
-6.41	-1.37	-11.18
-20.29	1.63	-20
-19.21	-13.37	-14.39
0.58	3.74	4.95
-18.61	0.57	-11.64
1.29	7.19	-9.76
12.88	5.7	-12.23
-20.24	-14.1	-2.88
-11.68	-6.41	-4.49
-10.95	-3.23	-7.71
-7.25	3.18	18.26
-4.41	12.36	-3.85
-3.56	-6.48	-14.1
-8.52	3.45	-12.46
-7.43	-7.94	-15.37
-23.1	-12.73	-6.77
3.46	2.49	9.36
-6.53	-3.41	-1.48
-14.09	-14.2	-13.42
-8.97	-2.97	3.52
-5.64	-1.27	6.05
-9.24	-2.41	3.77
-5.52	0.23	2.2
-10.51	2.51	5.14
4.86	4.74	2.05
-13.06	3.21	5.03
9.03	3.11	9.79
-9.04	0.11	1.84
-11.14	-8.38	-1.95
-4.06	-1.76	-7.54
-11.24	4.84	-10.58
-2.68	-2.69	0.38
-0.6	7.36	2.34
-6.72	-2.04	-2.8
-0.61	1.04	0.14
-0.48	1	0.44
-0.08	0.01	-0.26
-0.04	-0.01	0.04
-0.22	-0.32	-0.52
-0.11	-0.37	-0.08
-0.07	-0.31	-0.14
0	-0.33	-0.13
0	-0.35	-0.17
-0.02	-0.21	-0.12
-0.02	-0.26	-0.18
-0.13	-0.55	-0.38
0	-0.19	-0.34
0	-0.36	-0.16
0.06	-0.28	-0.1
0.08	-0.21	-0.2
0.08	-0.06	-0.05
-10.95	-0.2	14.61
2.02	1.25	-3.39
5.72	2.14	0.66
-0.18	-1.05	0.94
-0.03	-0.83	0.08
-0.08	-1.11	0.41
1.06	-0.9	-1.84
-8.09	3.17	-0.74
-3.89	3.55	-12.48
-0.94	2.91	-7.14
0.33	3.64	2.4
-4.69	-4.56	0.08
9.54	-6.03	-3.68
2.9	-3.66	1.41
-6.21	4.17	5.82
-6.35	1.64	1.42
1.87	-1.76	0.94
0.14	6.23	-6.59
17.19	8.01	9.38
2.85	-0.81	0.66
3.46	-0.85	-0.35
0.1	-0.57	0.02
0.07	-0.55	0.08
0.05	-0.57	0.1
0.05	-0.52	0.1
0.03	-0.55	0.11
0.06	-0.57	0.09
0.06	-0.55	0.09
0.05	-0.56	0.12
0.05	-0.54	0.08
0.06	-0.53	0.09
-0.36	-0.56	0.1
0.06	-0.54	0.09
1.14	-0.55	0.08
0.08	-0.57	0.09
0.06	-0.56	0.09
0.07	-0.56	0.09
0.06	-0.54	0.12
0.06	-0.54	0.11
0.05	-0.56	0.1
0.08	-0.55	0.09
-8.41	-0.93	-1.19
-12.03	4.78	-2.43
-0.7	-7.49	1.87
0.19	-2.74	-10.72
-25.01	25.45	-29.13
1.17	-1.75	-5.81
-1.97	-37.08	-13.61
19.77	22.26	-0.21
-0.69	-1.53	-17.02
-11.22	-9.83	-8.2
4.43	4.76	-5.71
-3.65	-5.51	0.02
-16.09	-15.87	9.92
3.89	2.13	-9.36
8.93	5.98	2.16
3.49	-14.65	2.14
3.21	-2.79	2.51
7.54	1.04	2.18
4.16	5.27	7.06
17.07	-15.78	-23.07
-6.81	-2.21	18.32
4.03	20.31	8.08
-1.33	-0.25	1.23
2.65	19.68	-6.34
6.36	-6.64	5.27
2.49	-7.72	-2.26
6.5	-6.86	-3.32
2.65	-6.49	-2.94
3.49	3.25	3.45
2.3	-3.09	2.6
1.57	-5.69	-3.28
12.67	-9.26	0.05
23.4	-21.36	2.16
3.59	-8.56	-2.09
-0.83	-3.03	11.84
0.97	-6.48	4.22
-4.26	-5.31	-8.61
7.59	-10.38	-2.05
-1.32	-2.37	-10.51
0.83	-5.36	4.68
37.03	19.56	-2.37
1.66	-1.84	-6.65
23.54	39.05	28.55
36.82	19.71	21.33
15.36	-8.4	-7.17
8.55	-14.74	-4.15
7.38	0.37	4.65
-0.56	8.79	-1.02
8.07	-3.85	-0.81
9.89	-11.3	10.87
8.69	-2.65	-3.55
13.35	3.19	22.17
7.62	-5.14	5.85
3.95	-3	-5.63
-4.11	2.08	2.26
6.82	-1.75	-4.94
-23	6.38	-9.47
6.7	-3.25	-0.7
2.53	-6.96	7.6
10.43	2.52	-5.49
-0.62	0	-4.9
5.99	-5.2	4.98
8.08	-27.79	-9.22
9.54	-9.53	-4.83
9.02	-9.51	-4.68
4.63	-3.65	-1.45
0.34	-0.5	-0.11
0.15	-0.41	0.1
0.11	-0.45	0.09
0.12	-0.41	0.11
0.12	-0.41	0.1
0.11	-0.4	0.13
0.1	-0.4	0.12
0.1	-0.43	0.09
0.1	-0.4	0.09
0.13	-0.41	0.12
0.12	-0.41	0.11
-1.4	3.76	-8.72
-2.37	-11.24	-1.53
0.12	7.92	3.13
3.32	6.55	5.33
1.5	-2.31	0.34
0.31	-0.55	-0.91
0.09	-0.44	-0.93
-0.04	-0.18	-0.4
-0.04	-0.16	-0.42
-0.02	-0.2	-0.41
-0.02	-0.17	-0.43
-0.02	-0.14	-0.44
-0.03	-0.2	-0.42
-0.02	-0.12	-0.43
-0.02	-0.16	-0.41
-0.02	-0.15	-0.44
-0.02	-0.18	-0.41
-0.02	-0.15	-0.41
-0.03	-0.14	-0.42
-0.02	-0.17	-0.43
-0.05	-0.16	-0.41
-0.04	-0.15	-0.39
-0.03	-0.17	-0.41
-0.04	-0.15	-0.4
-0.02	-0.1	-0.5
-0.02	-0.24	-0.35
-0.03	-0.43	-0.4
0	-0.37	-0.48
-0.02	-0.17	-0.67
0	-0.38	-0.47
-0.03	-0.42	-0.4
-0.02	-0.35	-0.46
-0.01	-0.35	-0.46
-0.02	-0.38	-0.5
-0.03	-0.41	-0.44
-0.03	-0.41	-0.43
-0.01	-0.4	-0.43
-0.01	-0.36	-0.48
0	-0.42	-0.44
-0.02	-0.39	-0.43
-0.01	-0.4	-0.46
-0.02	-0.41	-0.45
-0.02	-0.42	-0.44
-0.02	-0.41	-0.46
-0.01	-0.39	-0.49
-0.01	-0.4	-0.42
-0.03	-0.38	-0.47
-0.02	-0.41	-0.44
0.01	-0.46	-0.41
-0.03	-0.39	-0.45
-0.03	-0.4	-0.37
-0.02	-0.11	-0.59
-0.01	-0.24	-0.35
-0.03	-0.26	-0.37
-0.01	-0.27	-0.37
-0.03	-0.26	-0.38
-0.03	-0.27	-0.38
-0.03	-0.25	-0.38
-0.03	-0.27	-0.36
-0.03	-0.27	-0.36
-0.03	-0.25	-0.36
-0.01	-0.27	-0.35
-0.03	-0.27	-0.36
-0.01	-0.28	-0.35
-0.02	-0.3	-0.38
-0.04	-0.29	-0.38
-0.04	-0.23	-0.37
-0.03	-0.32	-0.35
-0.02	-0.28	-0.35
-0.04	-0.27	-0.38
-0.03	-0.31	-0.36
-0.03	-0.31	-0.34
-0.04	-0.27	-0.34
-0.03	-0.31	-0.34
-0.03	-0.27	-0.38
-0.01	-0.28	-0.34
-0.04	-0.29	-0.36
-0.02	-0.3	-0.35
-0.02	-0.29	-0.34
-0.03	-0.31	-0.38
-0.04	-0.29	-0.35
-0.03	-0.29	-0.34
-0.02	-0.27	-0.34
-0.03	-0.24	-0.35
-0.01	-0.22	-0.37
-0.02	-0.19	-0.37
-0.04	-0.21	-0.39
-0.03	-0.23	-0.36
-0.04	-0.24	-0.35
-0.05	-0.21	-0.39
-0.02	-0.21	-0.37
-0.02	-0.21	-0.38
-0.02	-0.22	-0.38
-0.02	-0.23	-0.4
-0.01	-0.24	-0.36
-0.03	-0.27	-0.34
-0.02	-0.25	-0.36
-0.03	-0.24	-0.37
-0.01	-0.23	-0.39
-0.02	-0.24	-0.36
-0.04	-0.27	-0.34
0	-0.23	-0.37
-0.02	-0.24	-0.36
-0.03	-0.25	-0.37
-0.02	-0.23	-0.39
-0.02	-0.26	-0.36
-0.03	-0.23	-0.38
-0.01	-0.23	-0.38
-0.01	-0.23	-0.37
-0.02	-0.24	-0.37
0	-0.23	-0.38
-0.02	-0.24	-0.38
-0.03	-0.23	-0.39
-0.02	-0.22	-0.37
-0.02	-0.24	-0.36
-0.04	-0.21	-0.4
-0.01	-0.23	-0.38
0	-0.23	-0.4
-0.02	-0.22	-0.36
-0.03	-0.27	-0.38
-0.02	-0.24	-0.38
-0.01	-0.22	-0.36
-0.01	-0.22	-0.37
-0.02	-0.19	-0.39
-0.01	-0.22	-0.39
0	-0.21	-0.42
-0.03	-0.19	-0.37
0	-0.2	-0.39
-0.02	-0.22	-0.37
0	-0.18	-0.41
-0.01	-0.19	-0.4
-0.01	-0.22	-0.38
-0.01	-0.18	-0.42
0	-0.17	-0.42
0	-0.18	-0.43
-0.01	-0.16	-0.4
0	-0.16	-0.41
0	-0.16	-0.41
0.01	-0.15	-0.4
0	-0.19	-0.43
0	-0.14	-0.41
0	-0.15	-0.4
0.01	-0.16	-0.42
0	-0.15	-0.41
0	-0.18	-0.44
0.01	-0.14	-0.42
0	-0.15	-0.43
0	-0.16	-0.41
0	-0.17	-0.43
0.01	-0.17	-0.41
0	-0.16	-0.4
0.01	-0.17	-0.41
0	-0.17	-0.41
0	-0.17	-0.43
0	-0.17	-0.39
0	-0.16	-0.39
0	-0.19	-0.39
0.01	-0.17	-0.44
0	-0.14	-0.41
0	-0.15	-0.4
0.01	-0.2	-0.4
0	-0.18	-0.41
0.01	-0.18	-0.43
0.01	-0.16	-0.45
-0.01	-0.14	-0.39
0	-0.19	-0.4
0	-0.17	-0.4
0	-0.17	-0.41
0	-0.19	-0.38
0.01	-0.15	-0.4
0	-0.15	-0.4
0	-0.16	-0.41
-0.01	-0.16	-0.4
0	-0.17	-0.38
-0.01	-0.18	-0.39
0	-0.17	-0.41
0	-0.18	-0.38
0	-0.17	-0.4
0	-0.17	-0.43
0	-0.19	-0.4
0.01	-0.17	-0.41
0	-0.17	-0.41
0.02	-0.15	-0.4
0	-0.19	-0.41
0	-0.14	-0.43
0	-0.17	-0.43
0	-0.16	-0.41
0	-0.11	-0.42
0	-0.16	-0.38
-0.01	-0.17	-0.41
0.02	-0.18	-0.39
0.01	-0.2	-0.38
0	-0.19	-0.38
-0.01	-0.18	-0.41
0	-0.18	-0.4
0	-0.17	-0.43
0.01	-0.17	-0.4
0	-0.17	-0.41
0	-0.19	-0.39
0	-0.16	-0.43
0	-0.17	-0.42
0.01	-0.13	-0.4
0.01	-0.19	-0.41
0.01	-0.16	-0.39
0.01	-0.15	-0.43
0.01	-0.16	-0.39
0.01	-0.14	-0.41
0	-0.16	-0.4
0	-0.17	-0.4
0	-0.17	-0.39
0	-0.15	-0.41
0	-0.14	-0.4
0.02	-0.17	-0.39
0.01	-0.18	-0.42
0	-0.17	-0.39
0.01	-0.14	-0.41
0	-0.13	-0.41
0	-0.14	-0.44
0	-0.19	-0.39
0	-0.12	-0.43
0.01	-0.14	-0.39
0.01	-0.14	-0.43
0	-0.12	-0.42
0.01	-0.12	-0.43
0	-0.11	-0.41
0.02	-0.15	-0.42
0.01	-0.12	-0.45
0.02	-0.15	-0.42
0.01	-0.14	-0.43
0.01	-0.17	-0.41
0.01	-0.17	-0.42
0	-0.16	-0.42
0	-0.17	-0.4
0.01	-0.15	-0.43
0	-0.15	-0.42
0.01	-0.16	-0.43
0.01	-0.16	-0.41
0	-0.17	-0.41
0.02	-0.16	-0.39
0.02	-0.17	-0.41
0.01	-0.16	-0.43
0	-0.15	-0.41
0	-0.17	-0.42
0.01	-0.17	-0.4
-0.01	-0.2	-0.41
0.01	-0.15	-0.44
0.01	-0.15	-0.44
0.01	-0.16	-0.4
0	-0.13	-0.43
0.01	-0.19	-0.42
0	-0.16	-0.46
0.01	-0.16	-0.41
0	-0.15	-0.43
0.01	-0.16	-0.42
0	-0.17	-0.41
0	-0.13	-0.41
0.01	-0.16	-0.4
0.01	-0.13	-0.43
0.01	-0.16	-0.43
0.03	-0.17	-0.43
0.02	-0.13	-0.41
0.02	-0.17	-0.39
0	-0.17	-0.41
0.02	-0.17	-0.43
0.02	-0.15	-0.45
0.01	-0.14	-0.42
0.01	-0.18	-0.39
0	-0.13	-0.42
0.02	-0.16	-0.43
0	-0.15	-0.43
0.01	-0.18	-0.42
0	-0.14	-0.41
0.03	-0.14	-0.42
0.02	-0.16	-0.43
0	-0.15	-0.4
0.02	-0.15	-0.42
0	-0.17	-0.43
0.01	-0.16	-0.43
0.02	-0.16	-0.42
0.02	-0.15	-0.4
0.01	-0.16	-0.42
0.01	-0.18	-0.41
0	-0.14	-0.44
0.01	-0.15	-0.41
0.01	-0.15	-0.42
0.01	-0.14	-0.43
0.01	-0.15	-0.46
0	-0.17	-0.41
0.02	-0.17	-0.41
0	-0.15	-0.39
0.03	-0.14	-0.44
0	-0.16	-0.44
0.01	-0.15	-0.42
0.02	-0.16	-0.4
0.01	-0.15	-0.42
0.02	-0.16	-0.43
0.03	-0.17	-0.43
0.02	-0.16	-0.43
0.01	-0.16	-0.4
0.02	-0.18	-0.4
0.02	-0.16	-0.4
0.01	-0.15	-0.43
0.01	-0.17	-0.4
0	-0.15	-0.41
0.02	-0.17	-0.42
0.02	-0.15	-0.41
0.01	-0.18	-0.42
0.02	-0.16	-0.41
0.01	-0.17	-0.41
0.01	-0.14	-0.46
0	-0.14	-0.43
0.01	-0.15	-0.4
0.02	-0.16	-0.43
0	-0.15	-0.41
0.02	-0.16	-0.42
0.01	-0.18	-0.39
0.02	-0.19	-0.4
0	-0.17	-0.4
0.03	-0.17	-0.43
0.02	-0.18	-0.42
0.02	-0.15	-0.4
0.03	-0.15	-0.4
0.01	-0.16	-0.43
0.02	-0.17	-0.41
0.02	-0.16	-0.4
0.01	-0.17	-0.43
0	-0.15	-0.4
0.02	-0.14	-0.45
0.01	-0.16	-0.41
0.02	-0.16	-0.4
0.02	-0.17	-0.39
0.01	-0.15	-0.41
0.01	-0.18	-0.45
0.01	-0.18	-0.4
0.02	-0.16	-0.4
0.02	-0.16	-0.41
0	-0.15	-0.41
0	-0.14	-0.42
0.01	-0.17	-0.42
0.02	-0.15	-0.44
0.02	-0.15	-0.43
0	-0.15	-0.42
0.03	-0.16	-0.4
0.01	-0.15	-0.41
0.03	-0.15	-0.4
0.03	-0.15	-0.43
0.03	-0.18	-0.44
0.01	-0.18	-0.41
0.01	-0.17	-0.43
0.01	-0.15	-0.43
0.02	-0.18	-0.41
0.01	-0.19	-0.42
0.02	-0.15	-0.43
0.02	-0.18	-0.41
0.03	-0.15	-0.43
0.01	-0.16	-0.44
0.01	-0.14	-0.43
0.01	-0.16	-0.42
0	-0.21	-0.4
0.02	-0.14	-0.42
0.01	-0.17	-0.4
0.02	-0.17	-0.41
0.01	-0.14	-0.43
0.01	-0.17	-0.41
0.02	-0.17	-0.42
0.01	-0.14	-0.43
0.01	-0.17	-0.41
0.02	-0.17	-0.41
0	-0.16	-0.44
0	-0.18	-0.4
0.02	-0.15	-0.42
0	-0.16	-0.44
0.02	-0.15	-0.42
0.02	-0.16	-0.42
0.01	-0.17	-0.41
0.03	-0.17	-0.41
0.01	-0.18	-0.44
0	-0.15	-0.45
0.03	-0.16	-0.42
0.02	-0.16	-0.41
0.02	-0.15	-0.44
0.02	-0.17	-0.4
0.01	-0.16	-0.44
0.02	-0.18	-0.41
0.01	-0.16	-0.44
0.01	-0.16	-0.43
0.01	-0.17	-0.43
0.01	-0.15	-0.42
0.02	-0.15	-0.4
0.02	-0.17	-0.43
0.02	-0.16	-0.42
0.03	-0.14	-0.41
0.02	-0.17	-0.41
0.01	-0.17	-0.41
0.02	-0.19	-0.42
0	-0.17	-0.44
0.03	-0.16	-0.41
0.03	-0.15	-0.42
0.03	-0.13	-0.44
0.01	-0.15	-0.44
0	-0.15	-0.4
0.03	-0.17	-0.42
0.02	-0.17	-0.42
0.01	-0.14	-0.42
0	-0.15	-0.45
0.02	-0.16	-0.41
0.03	-0.16	-0.42
0.02	-0.17	-0.44
0.03	-0.14	-0.42
0.03	-0.16	-0.43
0.02	-0.18	-0.41
0.01	-0.14	-0.44
0.02	-0.15	-0.41
0.02	-0.17	-0.44
0.01	-0.14	-0.42
0.03	-0.15	-0.45
0.03	-0.17	-0.44
0.01	-0.18	-0.45
0.02	-0.13	-0.43
0.03	-0.16	-0.41
0.02	-0.14	-0.42
0.02	-0.14	-0.39
0.02	-0.17	-0.44
0.01	-0.16	-0.45
0.01	-0.15	-0.43
0.03	-0.15	-0.42
0.03	-0.15	-0.43
0.03	-0.11	-0.45
0.01	-0.15	-0.44
0.02	-0.17	-0.41
0.02	-0.17	-0.42
0.01	-0.14	-0.44
0.02	-0.16	-0.4
0.03	-0.16	-0.4
0.03	-0.16	-0.43
0.02	-0.14	-0.42
0.02	-0.16	-0.44
0.01	-0.16	-0.44
0	-0.14	-0.4
0.02	-0.15	-0.4
0.01	-0.15	-0.42
0.03	-0.17	-0.43
0.02	-0.17	-0.42
0.01	-0.19	-0.4
-0.79	-0.46	0.08
1.52	1.35	-1.18
0.08	-0.44	0.21
0.07	-0.53	1.27
0.02	0.29	-0.04
0	-0.06	-0.03
-0.64	-0.85	1.33
-1.12	-0.88	1.41
0	-1.27	0.67
0.35	0.11	-0.64
2.95	0.04	0.46
0.22	-0.84	0.67
0.02	-0.11	0.07
0.1	0.03	-0.04
0.66	0.7	-1.13
-0.03	-0.35	-0.13
-1.73	-0.88	1.34
-0.07	0.11	0.43
-0.06	-0.31	1.39
0	-0.2	0.82
-0.12	-0.72	0.83
-0.13	0.83	-0.35
-0.23	-1.96	0.26
0.32	0.29	0.12
-0.07	-0.02	0.28
0.29	0.29	0.01
0.18	0.7	-0.04
-0.21	-0.44	0.1
-1.87	-2.1	0.28
-0.21	1.15	-1.37
0.15	0.12	0.57
-0.12	-0.66	0.58
-0.68	-0.74	0.5
-0.1	-0.66	0.44
0.21	-0.67	0.03
-0.77	-0.62	2.1
-0.26	-1.39	0.59
-0.44	-0.28	0.58
-0.26	0.23	1.46
0.25	-0.41	2
-0.15	-0.44	0.16
-0.28	-1.1	0.6
0.08	-0.1	0.16
-0.05	-0.62	0.22
0.33	-0.37	-0.13
0.19	-0.31	-0.12
0.97	-0.66	0.48
0	1.65	-0.73
-0.51	3.87	0.47
-0.1	-0.57	0.5
0.42	-0.67	0.35
0.11	-0.39	0.28
0.01	-0.26	0.13
0.06	-0.25	0.36
0.1	0.22	0.36
-0.63	-0.18	0.25
0.44	-0.42	-0.47
0.11	0.24	0.69
0.04	-0.09	0.14
0.13	-0.15	0.24
0.24	0.17	-0.97
-0.17	0	-0.01
0.47	-2.07	-0.55
-0.67	0.31	0.09
0	0.01	-0.27
-0.21	-0.26	-0.06
-0.18	-0.31	-0.61
0.02	0.08	-0.13
0.02	-0.15	-0.06
-0.15	-0.04	-0.17
0.06	0.16	-0.12
-0.18	-0.1	-0.37
0.03	0.13	0.07
-0.05	-0.29	0.09
-0.35	0.4	-0.2
-0.26	-0.17	0.13
0.04	0.19	-0.53
-0.13	0.12	0.1
-0.4	0.17	0.25
0.08	-0.42	0.2
-0.54	0.18	0.21
0.2	-0.04	-0.37
0.58	0.83	0.75
0.41	-0.24	0.43
0.36	-0.38	1.81
0.74	-0.37	-0.65
0.32	-0.02	-0.43
0.58	-0.29	-0.3
-0.73	0.2	0.18
-0.11	0.37	-0.1
0	0.14	-0.2
0	-0.4	-0.05
0.09	-0.01	-0.08
0.17	-0.25	-0.21
0.04	-0.14	0
-0.26	0.36	0.92
1.28	1.37	-0.09
0.6	-1.47	0.93
0.23	-0.47	-0.55
-0.1	-0.04	-0.09
-0.16	-0.05	0.23
-0.04	0.12	-0.08
-0.03	-0.02	-0.13
0.66	2.62	-1.47
0.12	-0.97	0.43
-0.27	0	-0.28
-0.6	3.77	-1.7
-0.79	-1.95	-0.32
-0.32	0.51	-0.7
0.09	0.19	-0.81
0.36	-0.57	-0.02
0.38	-1.34	-0.54
-0.19	0.38	-0.02
0.01	-0.07	0.06
0.19	-0.12	0.08
0.01	0.11	-0.19
-0.04	0.02	-0.06
0.03	-0.23	0
0	-0.34	-0.3
-0.04	0.37	0.09
0.47	1.27	1.06
-0.04	-0.38	0.67
0.16	0.12	1.18
0.94	1.06	-2.63
0.42	-0.46	-0.84
0.46	0.55	1.04
0.74	-1.38	0.82
0.4	-0.49	-0.24
0.71	-0.17	0.34
0.4	-0.4	0.58
-0.36	-0.19	0.4
0.61	-1	0.22
1.53	1.43	-1.74
-0.54	0.57	0.95
0.97	0.19	-0.48
-0.03	-0.77	-0.37
-0.11	0.3	-0.38
-0.24	0.57	0.05
-0.67	0.17	-3
-0.19	-0.37	0.12
-0.39	-0.23	1.2
-0.47	-2.76	0.35
-0.47	0.16	-0.01
0.55	-0.06	-0.51
-0.16	-0.35	0
0.17	-0.55	0.74
0.55	0.84	0.38
-0.01	0.31	0.28
-0.33	0.42	0.26
-0.9	-1.4	0.36
0.5	-0.18	-0.53
-0.09	-0.07	-0.02
-0.02	0.31	0.15
-0.06	-0.36	0.68
-0.23	0.56	-0.11
-0.09	0.26	-1.09
0	-1.38	0.17
0.21	-0.29	0.02
0.25	0.23	-0.41
1.08	0.46	0.08
-1.13	-0.71	1.77
-1.57	-2.36	-0.5
-0.66	1.4	0.9
-0.05	-0.34	0.07
-0.17	-0.27	-0.86
1.19	0.32	-1.48
-0.19	-0.6	-0.74
0.48	-0.1	0
-0.05	0.44	-0.04
-0.03	0.14	0.98
0.01	-0.36	0.32
0	-0.13	0.07
-0.12	0	0.05
0.1	-0.3	0.1
-0.14	0.15	-0.08
-0.19	0.54	0.01
-0.08	-0.27	0.25
0.19	0.29	0.01
-0.56	1	-0.3
-0.19	-0.24	-0.29
-0.27	0.24	0.23
-0.14	0.37	-0.21
0.94	-1.58	0.96
-0.08	-0.45	0.14
1.08	0.08	0.1
1.75	-0.37	0.44
0.01	-0.82	0.16
-0.69	-0.14	-0.22
1.79	0.58	-0.07
0.72	0.01	-0.49
-0.62	-0.48	-1.49
0.06	-1.31	0.81
0.07	-0.22	0.23
1.87	-0.04	0.35
0.23	-1.96	-1.14
-0.53	-0.72	0.28
0.49	0.12	0.76
0.22	0.4	0.04
0.74	0.43	1.7
0.57	-0.37	-0.86
-0.47	0.89	-0.88
-0.02	-0.44	0.04
-0.58	-0.05	-0.94
0.03	0.11	-0.01
-0.06	-0.04	-0.11
-0.06	-0.03	-0.23
-0.03	0.51	-0.9
-0.08	0.64	0.77
-0.07	-0.32	-0.17
-0.24	0.14	0.02
-0.12	0.16	0.15
0.86	-0.58	0.17
-0.04	-0.2	-0.21
0.17	-0.24	0.01
0.14	0.64	0.09
-0.2	0.1	0.11
0	-0.3	0.02
-0.12	0.85	1.15
0.86	-0.55	-2.32
-0.02	-0.29	-0.06
0.43	0.59	1.69
0.14	-0.04	0.15
0.05	0.24	0.05
-0.13	0	-0.07
-0.15	0	0.03
0.04	-0.01	-0.08
